City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Carnarvon,AU,86.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
3,Atuona,PF,78.93,scattered clouds,-9.8,-139.0333,Villa Enata
4,Hilo,US,77.79,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
6,Isangel,VU,86.11,light rain,-19.55,169.2667,Tanna Lodge
16,Butaritari,KI,81.84,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
17,Sola,VU,88.47,light rain,-13.8833,167.55,Leumerus Bungalows
19,Kavaratti,IN,80.19,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
27,Lorengau,PG,83.52,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
34,Murray Bridge,AU,89.35,overcast clouds,-35.1167,139.2667,Balcony On Sixth Lodge
38,Maun,BW,75.92,overcast clouds,-19.9833,23.4167,Enviro Villa
40,Rikitea,PF,78.71,overcast clouds,-23.1203,-134.9692,People ThankYou
45,Cabedelo,BR,79.47,few clouds,-6.9811,-34.8339,Hotel Pigalle
48,Itacoatiara,BR,77.43,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
52,Kapaa,US,75.27,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
53,Hobart,AU,80.28,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
58,Cayenne,GF,80.1,light rain,4.9333,-52.3333,Hôtel Le Dronmi
59,Hithadhoo,MV,81.82,overcast clouds,-0.6,73.0833,Scoop Guest House
61,Quixada,BR,75.09,overcast clouds,-4.9714,-39.0153,Hotel Vale das Pedras
63,New Norfolk,AU,79.92,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
65,Balabac,PH,80.96,moderate rain,7.9868,117.0645,Sing and Swing Lodge
71,Vaini,TO,81.77,overcast clouds,-21.2,-175.2,Keleti Beach Resort
72,Saint-Philippe,RE,78.35,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
