City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Carnarvon,AU,-24.8667,113.6333,86.07,51,0,9.22,clear sky
1,Bantry,IE,51.6833,-9.45,42.28,88,34,3.36,scattered clouds
2,Saint George,US,37.1041,-113.5841,52.36,36,5,1.48,clear sky
3,Atuona,PF,-9.8,-139.0333,78.93,77,47,24.05,scattered clouds
4,Hilo,US,19.7297,-155.09,77.79,88,85,5.99,overcast clouds
5,Castro,BR,-24.7911,-50.0119,66.58,90,93,3.62,overcast clouds
6,Isangel,VU,-19.55,169.2667,86.11,79,100,4.61,light rain
7,Upington,ZA,-28.4478,21.2561,71.98,88,0,5.75,clear sky
8,Channel-Port Aux Basques,CA,47.5702,-59.1367,27.43,69,100,18.03,overcast clouds
9,Okha,RU,53.5739,142.9478,-1.73,87,94,15.19,overcast clouds
10,Tiksi,RU,71.6872,128.8694,-14.04,96,61,10.18,broken clouds
11,Mazara Del Vallo,IT,37.6641,12.588,54.0,71,100,12.03,overcast clouds
12,Muros,ES,42.7762,-9.0603,51.1,67,0,16.93,clear sky
13,Lagoa,PT,39.05,-27.9833,61.07,87,100,19.22,overcast clouds
14,Mataura,NZ,-46.1927,168.8643,59.49,61,93,8.77,overcast clouds
15,Khatanga,RU,71.9667,102.5,-3.57,93,100,8.43,overcast clouds
16,Butaritari,KI,3.0707,172.7902,81.84,72,100,17.56,overcast clouds
17,Sola,VU,-13.8833,167.55,88.47,79,75,4.61,light rain
18,Indija,IN,20.0,77.0,63.59,64,0,7.65,clear sky
19,Kavaratti,IN,10.5669,72.642,80.19,71,94,11.86,overcast clouds
20,La Baule-Escoublac,FR,47.2922,-2.364,41.0,90,0,6.91,clear sky
21,Kodiak,US,57.79,-152.4072,38.71,87,100,24.16,moderate rain
22,Nanortalik,GL,60.1432,-45.2371,26.51,71,100,25.41,light snow
23,Lata,PT,40.1629,-8.3327,48.07,82,0,4.27,clear sky
24,Ribeira Grande,PT,38.5167,-28.7,63.0,82,40,10.36,scattered clouds
25,Saint-Augustin,CA,51.226,-58.6502,3.47,87,100,8.68,overcast clouds
26,Cape Town,ZA,-33.9258,18.4232,64.89,80,0,4.0,clear sky
27,Lorengau,PG,-2.0226,147.2712,83.52,77,94,8.19,overcast clouds
28,Bardiyah,LY,31.7561,25.0865,50.68,58,6,11.88,clear sky
29,Iqaluit,CA,63.7506,-68.5145,-29.47,75,75,5.75,broken clouds
30,Beisfjord,NO,68.3751,17.5988,30.25,95,100,8.68,light snow
31,Mar Del Plata,AR,-38.0023,-57.5575,72.09,97,100,1.99,drizzle
32,Beidao,CN,34.5686,105.8933,36.66,91,100,2.3,overcast clouds
33,San Isidro,PE,-12.1167,-77.05,71.51,59,20,1.01,few clouds
34,Murray Bridge,AU,-35.1167,139.2667,89.35,31,100,20.09,overcast clouds
