City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Philippe,RE,2022-01-20 17:52:07,-21.3585,55.7679,80.15,84,74,5.77
1,Lagoa,PT,2022-01-20 17:52:07,39.05,-27.9833,61.68,85,80,19.51
2,Kavieng,PG,2022-01-20 17:52:08,-2.5744,150.7967,79.99,79,100,11.14
3,Rikitea,PF,2022-01-20 17:52:08,-23.1203,-134.9692,78.44,75,100,9.55
4,Ushuaia,AR,2022-01-20 17:48:32,-54.8,-68.3,67.62,33,1,4.43
5,Bluff,NZ,2022-01-20 17:52:09,-46.6,168.3333,54.81,74,100,17.11
6,Victoria,HK,2022-01-20 17:48:33,22.2855,114.1577,64.38,84,84,1.99
7,Avarua,CK,2022-01-20 17:52:10,-21.2078,-159.775,80.65,89,75,10.36
8,Cayenne,GF,2022-01-20 17:52:10,4.9333,-52.3333,84.24,82,75,4.0
9,Constitucion,CL,2022-01-20 17:52:10,-35.3333,-72.4167,66.34,50,0,13.51
10,Mataura,NZ,2022-01-20 17:52:10,-46.1927,168.8643,54.48,96,100,7.09
11,Yellowknife,CA,2022-01-20 17:52:11,62.456,-114.3525,-10.68,77,100,8.05
12,Jalu,LY,2022-01-20 17:52:11,29.0331,21.5482,56.41,46,9,3.56
13,Paragould,US,2022-01-20 17:52:11,36.0584,-90.4973,23.09,62,65,1.01
14,Hilo,US,2022-01-20 17:49:03,19.7297,-155.09,70.25,91,100,0.0
15,Broome,US,2022-01-20 17:52:12,42.2506,-75.833,22.17,67,20,5.99
16,Punta Arenas,CL,2022-01-20 17:51:30,-53.15,-70.9167,69.82,45,0,6.91
17,Ossora,RU,2022-01-20 17:52:12,59.2353,163.0719,1.69,90,77,7.74
18,Dunedin,NZ,2022-01-20 17:52:12,-45.8742,170.5036,57.79,81,100,5.99
19,Darapidap,PH,2022-01-20 17:52:13,17.2131,120.4114,73.36,81,44,3.89
20,Srivardhan,IN,2022-01-20 17:52:13,18.0333,73.0167,72.03,62,5,7.38
21,Coquimbo,CL,2022-01-20 17:52:13,-29.9533,-71.3436,67.73,59,0,14.97
22,Kruisfontein,ZA,2022-01-20 17:52:14,-34.0033,24.7314,74.88,79,2,16.64
23,Araouane,ML,2022-01-20 17:52:14,18.9048,-3.5265,70.97,14,1,8.95
24,Longyearbyen,SJ,2022-01-20 17:52:14,78.2186,15.6401,10.24,79,20,2.3
25,Tabas,IR,2022-01-20 17:52:15,33.5959,56.9244,48.61,26,0,2.89
26,Uray,RU,2022-01-20 17:52:15,60.1247,64.7758,19.09,93,99,9.42
27,Cabo San Lucas,MX,2022-01-20 17:47:58,22.8909,-109.9124,77.5,71,100,3.0
28,Vaini,TO,2022-01-20 17:52:15,-21.2,-175.2,81.37,80,5,19.51
29,Hermanus,ZA,2022-01-20 17:52:16,-34.4187,19.2345,68.9,76,0,4.7
30,Zhigansk,RU,2022-01-20 17:52:16,66.7697,123.3711,-17.25,97,100,17.49
31,Kavaratti,IN,2022-01-20 17:52:16,10.5669,72.642,80.69,71,76,11.52
32,Luderitz,NA,2022-01-20 17:52:16,-26.6481,15.1594,73.92,66,22,12.86
33,Havre-Saint-Pierre,CA,2022-01-20 17:52:17,50.2334,-63.5986,14.59,72,40,8.05
34,Georgetown,MY,2022-01-20 17:52:17,5.4112,100.3354,81.9,90,20,1.99
35,Bathsheba,BB,2022-01-20 17:52:17,13.2167,-59.5167,84.81,58,40,24.16
36,Berlevag,NO,2022-01-20 17:52:18,70.8578,29.0864,33.8,77,97,32.59
37,Tefe,BR,2022-01-20 17:52:18,-3.3542,-64.7114,80.71,94,75,4.61
38,Atuona,PF,2022-01-20 17:52:18,-9.8,-139.0333,78.51,75,52,23.2
39,Praia Da Vitoria,PT,2022-01-20 17:52:19,38.7333,-27.0667,64.76,94,20,18.39
40,Albany,US,2022-01-20 17:52:19,42.6001,-73.9662,29.44,57,61,5.99
41,Tasiilaq,GL,2022-01-20 17:52:20,65.6145,-37.6368,29.77,97,100,20.98
42,Kapaa,US,2022-01-20 17:51:14,22.0752,-159.319,66.52,100,0,6.91
43,Drayton Valley,CA,2022-01-20 17:47:59,53.2168,-114.9854,31.06,85,100,6.71
44,Canico,PT,2022-01-20 17:52:20,32.6333,-16.85,69.12,67,75,1.01
45,Tuatapere,NZ,2022-01-20 17:52:20,-46.1333,167.6833,54.82,89,100,9.55
46,Murgab,TM,2022-01-20 17:52:21,37.4966,61.9714,48.07,66,0,9.22
47,Turayf,SA,2022-01-20 17:53:21,31.6725,38.6637,37.65,75,0,6.91
48,Pasni,PK,2022-01-20 17:53:21,25.2631,63.471,73.38,86,1,19.69
49,Barrow,US,2022-01-20 17:49:15,71.2906,-156.7887,-18.38,69,100,6.91
50,Nanortalik,GL,2022-01-20 17:53:21,60.1432,-45.2371,29.62,88,100,18.97
51,Coldstream,GB,2022-01-20 17:53:22,55.6511,-2.2529,40.05,75,88,5.68
52,Montegranaro,IT,2022-01-20 17:53:22,43.2355,13.631,44.15,94,81,1.79
53,Hobart,AU,2022-01-20 17:53:22,-42.8794,147.3294,55.06,87,12,1.99
54,Lodwar,KE,2022-01-20 17:53:22,3.1191,35.5973,83.61,39,100,11.61
55,Cape Town,ZA,2022-01-20 17:51:46,-33.9258,18.4232,70.21,64,0,3.0
56,Tupik,RU,2022-01-20 17:53:23,54.4253,119.9327,-17.14,94,70,1.05
57,Cajamarca,PE,2022-01-20 17:48:45,-7.1638,-78.5003,68.07,49,75,9.22
58,Nicoya,CR,2022-01-20 17:53:23,10.1483,-85.452,89.15,34,19,8.7
59,Chimbote,PE,2022-01-20 17:51:09,-9.0853,-78.5783,77.54,70,24,13.35
60,Cidreira,BR,2022-01-20 17:53:23,-30.1811,-50.2056,81.82,78,18,11.07
61,Busselton,AU,2022-01-20 17:52:57,-33.65,115.3333,79.09,63,52,9.01
62,Vao,NC,2022-01-20 17:53:24,-22.6667,167.4833,77.43,85,85,18.61
63,Hamilton,US,2022-01-20 17:53:24,39.1834,-84.5333,28.65,54,30,1.01
64,Abu Samrah,SY,2022-01-20 17:53:24,35.3029,37.1841,37.42,73,5,10.45
65,Comodoro Rivadavia,AR,2022-01-20 17:53:24,-45.8667,-67.5,66.06,68,40,17.27
66,Jamestown,US,2022-01-20 17:53:25,42.097,-79.2353,18.52,54,100,5.99
67,Rio Grande,BR,2022-01-20 17:53:25,-32.035,-52.0986,93.31,76,5,16.84
68,Nikolskoye,RU,2022-01-20 17:53:25,59.7035,30.7861,34.88,93,100,7.56
69,Lavrentiya,RU,2022-01-20 17:53:25,65.5833,-171.0,-20.81,93,30,10.11
70,Saskylakh,RU,2022-01-20 17:53:26,71.9167,114.0833,-22.65,99,54,6.15
71,Deputatskiy,RU,2022-01-20 17:53:26,69.3,139.9,-20.76,75,61,3.94
72,Kewanee,US,2022-01-20 17:53:26,41.2456,-89.9248,12.78,69,59,9.44
73,Padang,ID,2022-01-20 17:53:27,-0.9492,100.3543,75.25,79,97,2.84
74,Edd,ER,2022-01-20 17:53:27,13.9297,41.6925,77.0,74,69,15.68
75,Goderich,CA,2022-01-20 17:53:27,43.7501,-81.7165,15.91,79,100,12.66
76,Lebanon,US,2022-01-20 17:53:19,36.2081,-86.2911,28.29,78,100,10.36
77,Vila Do Maio,CV,2022-01-20 17:53:28,15.1333,-23.2167,77.79,78,88,14.43
78,Obidos,BR,2022-01-20 17:53:28,-1.9175,-55.5181,92.05,42,71,8.34
79,Rawson,AR,2022-01-20 17:53:28,-43.3002,-65.1023,64.69,100,75,18.41
80,Pevek,RU,2022-01-20 17:53:29,69.7008,170.3133,-36.81,97,34,1.1
81,Roald,NO,2022-01-20 17:53:29,62.5833,6.1333,35.01,86,100,11.5
82,Butaritari,KI,2022-01-20 17:53:29,3.0707,172.7902,81.66,71,79,17.43
83,East London,ZA,2022-01-20 17:53:29,-33.0153,27.9116,79.74,78,0,8.05
84,Mackay,AU,2022-01-20 17:53:30,-21.15,149.2,76.98,83,75,11.5
85,Hithadhoo,MV,2022-01-20 17:53:30,-0.6,73.0833,82.38,72,79,6.51
86,Ribeira Grande,PT,2022-01-20 17:53:30,38.5167,-28.7,64.8,82,20,17.27
87,Upington,ZA,2022-01-20 17:53:30,-28.4478,21.2561,86.38,35,20,5.75
88,Kahului,US,2022-01-20 17:53:31,20.8947,-156.47,72.84,86,0,6.91
89,Alta Floresta,BR,2022-01-20 17:51:03,-9.8756,-56.0861,89.42,62,40,5.75
90,Isangel,VU,2022-01-20 17:53:31,-19.55,169.2667,78.85,90,45,7.65
91,Zaysan,KZ,2022-01-20 17:53:31,47.4667,84.8667,5.65,92,100,3.87
92,Cockburn Town,TC,2022-01-20 17:53:32,21.4612,-71.1419,82.36,61,40,17.27
93,Mersing,MY,2022-01-20 17:53:32,2.4312,103.8405,78.71,78,45,6.91
94,Bethel,US,2022-01-20 17:54:32,41.3712,-73.414,33.94,78,100,1.01
95,Kodiak,US,2022-01-20 17:54:32,57.79,-152.4072,24.31,80,0,3.44
96,Santa Cruz,BO,2022-01-20 17:54:33,-17.8,-63.1667,95.05,46,75,16.11
97,Bacolod,PH,2022-01-20 17:54:33,10.6667,122.95,75.52,86,84,8.63
98,George Town,MY,2022-01-20 17:52:17,5.4112,100.3354,81.9,90,20,1.99
99,Ogbomosho,NG,2022-01-20 17:54:33,8.133,4.25,87.98,19,40,5.01
100,Pemangkat,ID,2022-01-20 17:54:34,1.1667,108.9667,76.86,86,100,4.54
101,Coahuayana,MX,2022-01-20 17:54:34,18.7333,-103.6833,87.28,41,89,4.83
102,Carnarvon,AU,2022-01-20 17:54:34,-24.8667,113.6333,78.87,73,11,12.66
103,Ancud,CL,2022-01-20 17:54:34,-41.8697,-73.8203,67.53,66,63,11.68
104,New Norfolk,AU,2022-01-20 17:54:35,-42.7826,147.0587,54.72,74,18,2.73
105,Begoro,GH,2022-01-20 17:54:35,6.3871,-0.3774,80.92,28,39,2.42
106,Katsuura,JP,2022-01-20 17:54:35,35.1333,140.3,38.19,52,1,20.11
107,Cherskiy,RU,2022-01-20 17:54:36,68.75,161.3,-38.25,99,34,2.89
108,Pontes E Lacerda,BR,2022-01-20 17:54:36,-15.2261,-59.3353,91.9,43,74,3.94
109,Guerrero Negro,MX,2022-01-20 17:54:36,27.9769,-114.0611,67.21,47,1,5.08
